source = 44_1.14_file-io.AUDJPY.Period-H1.Days-1900.Bars-45600.20180511_181322.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.452000	00	18	19	2018.01.22 16:00	2018.01.23 10:00	2018.01.23 11:00	2018.01.22 09:00	2018.01.23 03:00	2018.01.23 04:00	88.601	88.992	88.670	89.081	88.951	88.821	88.691	88.560
0.246000	21	23	24	2018.01.23 13:00	2018.01.23 15:00	2018.01.23 16:00	2018.01.23 06:00	2018.01.23 08:00	2018.01.23 09:00	88.504	88.704	88.419	89.117	88.961	88.806	88.651	88.496
0.280000	29	32	42	2018.01.23 21:00	2018.01.24 00:00	2018.01.24 10:00	2018.01.23 14:00	2018.01.23 17:00	2018.01.24 03:00	88.074	88.239	88.061	89.187	88.839	88.490	88.141	87.792
0.450000	45	51	56	2018.01.24 13:00	2018.01.24 19:00	2018.01.25 00:00	2018.01.24 06:00	2018.01.24 12:00	2018.01.24 17:00	88.073	88.401	88.109	88.376	88.272	88.168	88.064	87.960
0.485000	59	71	76	2018.01.25 03:00	2018.01.25 15:00	2018.01.25 20:00	2018.01.24 20:00	2018.01.25 08:00	2018.01.25 13:00	88.021	88.299	88.015	88.388	88.273	88.159	88.044	87.929
0.094000	78	78	79	2018.01.25 22:00	2018.01.25 22:00	2018.01.25 23:00	2018.01.25 15:00	2018.01.25 15:00	2018.01.25 16:00	88.051	88.051	87.861	88.316	88.219	88.123	88.027	87.931
0.116000	80	80	81	2018.01.26 00:00	2018.01.26 00:00	2018.01.26 01:00	2018.01.25 17:00	2018.01.25 17:00	2018.01.25 18:00	87.980	87.980	87.909	88.338	88.224	88.110	87.997	87.883
0.640000	86	102	103	2018.01.26 06:00	2018.01.26 22:00	2018.01.26 23:00	2018.01.25 23:00	2018.01.26 15:00	2018.01.26 16:00	87.780	88.384	88.037	88.454	88.259	88.064	87.868	87.673
0.413000	106	108	116	2018.01.27 02:00	2018.01.27 04:00	2018.01.29 12:00	2018.01.26 19:00	2018.01.26 21:00	2018.01.29 05:00	87.965	88.244	87.943	88.407	88.264	88.121	87.978	87.835
0.133000	117	120	122	2018.01.29 13:00	2018.01.29 16:00	2018.01.29 18:00	2018.01.29 06:00	2018.01.29 09:00	2018.01.29 11:00	88.032	88.085	88.001	88.359	88.222	88.085	87.949	87.812
0.033000	123	123	124	2018.01.29 19:00	2018.01.29 19:00	2018.01.29 20:00	2018.01.29 12:00	2018.01.29 12:00	2018.01.29 13:00	88.033	88.033	88.012	88.244	88.147	88.050	87.953	87.855
0.029000	125	125	126	2018.01.29 21:00	2018.01.29 21:00	2018.01.29 22:00	2018.01.29 14:00	2018.01.29 14:00	2018.01.29 15:00	88.041	88.041	88.018	88.215	88.141	88.066	87.992	87.918
0.276000	127	130	138	2018.01.29 23:00	2018.01.30 02:00	2018.01.30 10:00	2018.01.29 16:00	2018.01.29 19:00	2018.01.30 03:00	88.060	88.292	88.122	88.269	88.175	88.081	87.987	87.893
0.013000	139	139	140	2018.01.30 11:00	2018.01.30 11:00	2018.01.30 12:00	2018.01.30 04:00	2018.01.30 04:00	2018.01.30 05:00	88.134	88.134	87.957	88.331	88.236	88.140	88.044	87.949
0.068000	143	143	144	2018.01.30 15:00	2018.01.30 15:00	2018.01.30 16:00	2018.01.30 08:00	2018.01.30 08:00	2018.01.30 09:00	87.720	87.720	87.493	88.452	88.270	88.087	87.905	87.722
0.585000	145	160	161	2018.01.30 17:00	2018.01.31 08:00	2018.01.31 09:00	2018.01.30 10:00	2018.01.31 01:00	2018.01.31 02:00	87.610	88.075	87.770	88.162	88.016	87.870	87.724	87.578
0.617000	163	176	178	2018.01.31 11:00	2018.02.01 00:00	2018.02.01 02:00	2018.01.31 04:00	2018.01.31 17:00	2018.01.31 19:00	87.792	88.392	88.067	88.368	88.190	88.011	87.832	87.654
0.008000	179	179	180	2018.02.01 03:00	2018.02.01 03:00	2018.02.01 04:00	2018.01.31 20:00	2018.01.31 20:00	2018.01.31 21:00	88.073	88.073	87.812	88.397	88.218	88.038	87.859	87.679
0.283000	181	186	189	2018.02.01 05:00	2018.02.01 10:00	2018.02.01 13:00	2018.01.31 22:00	2018.02.01 03:00	2018.02.01 06:00	87.961	88.057	87.905	88.363	88.217	88.070	87.924	87.777
0.039000	190	190	191	2018.02.01 14:00	2018.02.01 14:00	2018.02.01 15:00	2018.02.01 07:00	2018.02.01 07:00	2018.02.01 08:00	87.944	87.944	87.808	88.364	88.217	88.069	87.921	87.773
0.084000	193	194	195	2018.02.01 17:00	2018.02.01 18:00	2018.02.01 19:00	2018.02.01 10:00	2018.02.01 11:00	2018.02.01 12:00	87.810	87.878	87.710	88.295	88.143	87.991	87.839	87.687
0.018000	197	197	198	2018.02.01 21:00	2018.02.01 21:00	2018.02.01 22:00	2018.02.01 14:00	2018.02.01 14:00	2018.02.01 15:00	87.704	87.704	87.584	88.144	88.024	87.904	87.783	87.663
