source = 44_1.14_file-io.EURUSD.Period-H1.Days-1900.Bars-45600.20180511_180935.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.004000	00	03	07	2018.01.22 16:00	2018.01.22 19:00	2018.01.22 23:00	2018.01.22 09:00	2018.01.22 12:00	2018.01.22 16:00	1.224	1.226	1.224	1.226	1.225	1.224	1.222	1.221
0.001000	08	08	09	2018.01.23 00:00	2018.01.23 00:00	2018.01.23 01:00	2018.01.22 17:00	2018.01.22 17:00	2018.01.22 18:00	1.225	1.225	1.223	1.227	1.225	1.224	1.223	1.221
0.004000	10	17	23	2018.01.23 02:00	2018.01.23 09:00	2018.01.23 15:00	2018.01.22 19:00	2018.01.23 02:00	2018.01.23 08:00	1.224	1.227	1.225	1.227	1.226	1.225	1.224	1.222
0.000000	24	24	25	2018.01.23 16:00	2018.01.23 16:00	2018.01.23 17:00	2018.01.23 09:00	2018.01.23 09:00	2018.01.23 10:00	1.225	1.225	1.224	1.227	1.226	1.225	1.224	1.223
0.001000	27	27	28	2018.01.23 19:00	2018.01.23 19:00	2018.01.23 20:00	2018.01.23 12:00	2018.01.23 12:00	2018.01.23 13:00	1.225	1.225	1.224	1.227	1.226	1.225	1.224	1.223
0.027000	29	80	126	2018.01.23 21:00	2018.01.26 00:00	2018.01.29 22:00	2018.01.23 14:00	2018.01.25 17:00	2018.01.29 15:00	1.225	1.250	1.236	1.249	1.246	1.243	1.239	1.236
0.000000	128	128	129	2018.01.30 00:00	2018.01.30 00:00	2018.01.30 01:00	2018.01.29 17:00	2018.01.29 17:00	2018.01.29 18:00	1.236	1.236	1.235	1.245	1.242	1.240	1.238	1.236
0.004000	130	132	139	2018.01.30 02:00	2018.01.30 04:00	2018.01.30 11:00	2018.01.29 19:00	2018.01.29 21:00	2018.01.30 04:00	1.237	1.239	1.237	1.244	1.241	1.239	1.237	1.235
0.001000	140	140	141	2018.01.30 12:00	2018.01.30 12:00	2018.01.30 13:00	2018.01.30 05:00	2018.01.30 05:00	2018.01.30 06:00	1.238	1.238	1.237	1.241	1.240	1.238	1.236	1.235
0.010000	144	150	153	2018.01.30 16:00	2018.01.30 22:00	2018.01.31 01:00	2018.01.30 09:00	2018.01.30 15:00	2018.01.30 18:00	1.235	1.244	1.239	1.244	1.241	1.239	1.236	1.234
