source = 44_1.14_file-io.USDJPY.Period-H1.Days-1900.Bars-45600.20180511_181208.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.009000	01	01	02	2018.01.22 17:00	2018.01.22 17:00	2018.01.22 18:00	2018.01.22 10:00	2018.01.22 10:00	2018.01.22 11:00	110.788	110.788	110.708	110.906	110.806	110.706	110.607	110.507
0.149000	04	05	06	2018.01.22 20:00	2018.01.22 21:00	2018.01.22 22:00	2018.01.22 13:00	2018.01.22 14:00	2018.01.22 15:00	110.727	110.837	110.740	110.905	110.821	110.736	110.651	110.567
0.125000	07	07	08	2018.01.22 23:00	2018.01.22 23:00	2018.01.23 00:00	2018.01.22 16:00	2018.01.22 16:00	2018.01.22 17:00	110.865	110.865	110.783	110.903	110.830	110.757	110.684	110.611
0.371000	09	09	13	2018.01.23 01:00	2018.01.23 01:00	2018.01.23 05:00	2018.01.22 18:00	2018.01.22 18:00	2018.01.22 22:00	111.154	111.154	110.959	110.996	110.891	110.786	110.681	110.576
0.067000	15	16	17	2018.01.23 07:00	2018.01.23 08:00	2018.01.23 09:00	2018.01.23 00:00	2018.01.23 01:00	2018.01.23 02:00	110.932	110.982	110.941	111.145	111.010	110.876	110.742	110.608
0.044000	18	18	19	2018.01.23 10:00	2018.01.23 10:00	2018.01.23 11:00	2018.01.23 03:00	2018.01.23 03:00	2018.01.23 04:00	110.984	110.984	110.881	111.160	111.027	110.893	110.760	110.627
0.344000	21	23	25	2018.01.23 13:00	2018.01.23 15:00	2018.01.23 17:00	2018.01.23 06:00	2018.01.23 08:00	2018.01.23 10:00	110.783	111.090	110.709	111.170	111.044	110.918	110.793	110.667
0.026000	29	29	30	2018.01.23 21:00	2018.01.23 21:00	2018.01.23 22:00	2018.01.23 14:00	2018.01.23 14:00	2018.01.23 15:00	110.519	110.519	110.371	111.221	111.042	110.864	110.685	110.507
0.121000	33	33	36	2018.01.24 01:00	2018.01.24 01:00	2018.01.24 04:00	2018.01.23 18:00	2018.01.23 18:00	2018.01.23 21:00	110.456	110.456	110.304	111.202	110.968	110.733	110.498	110.263
0.003000	37	37	38	2018.01.24 05:00	2018.01.24 05:00	2018.01.24 06:00	2018.01.23 22:00	2018.01.23 22:00	2018.01.23 23:00	110.311	110.311	110.275	111.107	110.861	110.615	110.368	110.122
