source = 49_11_file-io.USDJPY.Period-H1.Days-720.Bars-17280.20171231_233725.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.150000	00	05	07	2017.11.17 16:00	2017.11.17 21:00	2017.11.17 23:00	2017.11.17 09:00	2017.11.17 14:00	2017.11.17 16:00	112.577	112.619	112.425	113.190	112.962	112.733	112.505	112.276
0.251000	10	15	16	2017.11.18 02:00	2017.11.20 07:00	2017.11.20 08:00	2017.11.17 19:00	2017.11.20 00:00	2017.11.20 01:00	112.020	112.187	112.021	112.830	112.604	112.377	112.150	111.923
0.096000	17	17	18	2017.11.20 09:00	2017.11.20 09:00	2017.11.20 10:00	2017.11.20 02:00	2017.11.20 02:00	2017.11.20 03:00	112.114	112.114	112.023	112.801	112.565	112.329	112.093	111.857
0.018000	19	19	20	2017.11.20 11:00	2017.11.20 11:00	2017.11.20 12:00	2017.11.20 04:00	2017.11.20 04:00	2017.11.20 05:00	112.044	112.044	112.019	112.759	112.519	112.279	112.039	111.799
0.061000	21	22	24	2017.11.20 13:00	2017.11.20 14:00	2017.11.20 16:00	2017.11.20 06:00	2017.11.20 07:00	2017.11.20 09:00	112.030	112.080	112.033	112.637	112.419	112.201	111.983	111.765
0.110000	25	25	27	2017.11.20 17:00	2017.11.20 17:00	2017.11.20 19:00	2017.11.20 10:00	2017.11.20 10:00	2017.11.20 12:00	112.142	112.142	112.089	112.405	112.264	112.122	111.981	111.840
0.596000	28	36	55	2017.11.20 20:00	2017.11.21 04:00	2017.11.21 23:00	2017.11.20 13:00	2017.11.20 21:00	2017.11.21 16:00	112.191	112.680	112.243	112.649	112.436	112.223	112.010	111.797
0.219000	56	57	59	2017.11.22 00:00	2017.11.22 01:00	2017.11.22 03:00	2017.11.21 17:00	2017.11.21 18:00	2017.11.21 20:00	112.460	112.457	112.306	112.697	112.610	112.523	112.436	112.348
0.154000	60	61	64	2017.11.22 04:00	2017.11.22 05:00	2017.11.22 08:00	2017.11.21 21:00	2017.11.21 22:00	2017.11.22 01:00	112.442	112.460	112.337	112.675	112.581	112.488	112.394	112.300
0.040000	67	67	69	2017.11.22 11:00	2017.11.22 11:00	2017.11.22 13:00	2017.11.22 04:00	2017.11.22 04:00	2017.11.22 06:00	112.291	112.291	112.210	112.632	112.529	112.426	112.323	112.220
0.087000	74	76	78	2017.11.22 18:00	2017.11.22 20:00	2017.11.22 22:00	2017.11.22 11:00	2017.11.22 13:00	2017.11.22 15:00	112.078	112.084	111.983	112.568	112.415	112.263	112.110	111.958
0.005000	81	81	82	2017.11.23 01:00	2017.11.23 01:00	2017.11.23 02:00	2017.11.22 18:00	2017.11.22 18:00	2017.11.22 19:00	111.627	111.627	111.578	112.565	112.339	112.113	111.887	111.661
0.115000	85	88	89	2017.11.23 05:00	2017.11.23 08:00	2017.11.23 09:00	2017.11.22 22:00	2017.11.23 01:00	2017.11.23 02:00	111.196	111.282	111.126	112.491	112.123	111.754	111.386	111.017
0.185000	90	92	96	2017.11.23 10:00	2017.11.23 12:00	2017.11.23 16:00	2017.11.23 03:00	2017.11.23 05:00	2017.11.23 09:00	111.204	111.310	111.179	112.284	111.928	111.571	111.214	110.857
0.079000	97	98	100	2017.11.23 17:00	2017.11.23 18:00	2017.11.23 20:00	2017.11.23 10:00	2017.11.23 11:00	2017.11.23 13:00	111.206	111.260	111.157	111.696	111.514	111.331	111.148	110.965
0.135000	101	102	105	2017.11.23 21:00	2017.11.23 22:00	2017.11.24 01:00	2017.11.23 14:00	2017.11.23 15:00	2017.11.23 18:00	111.230	111.290	111.211	111.402	111.324	111.246	111.168	111.090
0.035000	108	108	109	2017.11.24 04:00	2017.11.24 04:00	2017.11.24 05:00	2017.11.23 21:00	2017.11.23 21:00	2017.11.23 22:00	111.224	111.224	111.133	111.328	111.280	111.232	111.183	111.135
0.543000	110	136	139	2017.11.24 06:00	2017.11.27 08:00	2017.11.27 11:00	2017.11.23 23:00	2017.11.27 01:00	2017.11.27 04:00	111.210	111.663	111.373	111.654	111.571	111.487	111.404	111.320
0.013000	140	140	141	2017.11.27 12:00	2017.11.27 12:00	2017.11.27 13:00	2017.11.27 05:00	2017.11.27 05:00	2017.11.27 06:00	111.385	111.385	111.345	111.675	111.580	111.484	111.389	111.294
0.080000	142	143	144	2017.11.27 14:00	2017.11.27 15:00	2017.11.27 16:00	2017.11.27 07:00	2017.11.27 08:00	2017.11.27 09:00	111.381	111.428	111.361	111.679	111.579	111.480	111.380	111.280
0.003000	146	146	147	2017.11.27 18:00	2017.11.27 18:00	2017.11.27 19:00	2017.11.27 11:00	2017.11.27 11:00	2017.11.27 12:00	111.263	111.263	111.232	111.700	111.582	111.464	111.346	111.228
0.202000	151	151	153	2017.11.27 23:00	2017.11.27 23:00	2017.11.28 01:00	2017.11.27 16:00	2017.11.27 16:00	2017.11.27 18:00	111.105	111.105	110.995	111.757	111.560	111.363	111.166	110.969
0.081000	154	155	156	2017.11.28 02:00	2017.11.28 03:00	2017.11.28 04:00	2017.11.27 19:00	2017.11.27 20:00	2017.11.27 21:00	111.050	111.075	111.008	111.663	111.461	111.259	111.057	110.854
0.136000	157	160	161	2017.11.28 05:00	2017.11.28 08:00	2017.11.28 09:00	2017.11.27 22:00	2017.11.28 01:00	2017.11.28 02:00	111.087	111.137	111.013	111.442	111.298	111.154	111.010	110.866
0.294000	162	162	165	2017.11.28 10:00	2017.11.28 10:00	2017.11.28 13:00	2017.11.28 03:00	2017.11.28 03:00	2017.11.28 06:00	111.307	111.307	111.155	111.402	111.268	111.134	110.999	110.865
0.192000	166	172	174	2017.11.28 14:00	2017.11.28 20:00	2017.11.28 22:00	2017.11.28 07:00	2017.11.28 13:00	2017.11.28 15:00	111.174	111.356	111.250	111.393	111.279	111.166	111.052	110.939
0.126000	175	175	176	2017.11.28 23:00	2017.11.28 23:00	2017.11.29 00:00	2017.11.28 16:00	2017.11.28 16:00	2017.11.28 17:00	111.374	111.374	111.303	111.426	111.316	111.206	111.096	110.986
1.729000	178	248	249	2017.11.29 02:00	2017.12.02 00:00	2017.12.02 01:00	2017.11.28 19:00	2017.12.01 17:00	2017.12.01 18:00	111.249	112.787	111.842	112.790	112.662	112.534	112.406	112.278
0.591000	250	264	276	2017.12.02 02:00	2017.12.04 16:00	2017.12.05 04:00	2017.12.01 19:00	2017.12.04 09:00	2017.12.04 21:00	112.006	112.989	112.623	113.240	112.893	112.547	112.200	111.854
0.068000	279	280	281	2017.12.05 07:00	2017.12.05 08:00	2017.12.05 09:00	2017.12.05 00:00	2017.12.05 01:00	2017.12.05 02:00	112.494	112.496	112.452	113.127	112.952	112.777	112.602	112.427
0.201000	282	287	290	2017.12.05 10:00	2017.12.05 15:00	2017.12.05 18:00	2017.12.05 03:00	2017.12.05 08:00	2017.12.05 11:00	112.463	112.651	112.514	113.023	112.841	112.660	112.479	112.298
0.336000	292	296	301	2017.12.05 20:00	2017.12.06 00:00	2017.12.06 05:00	2017.12.05 13:00	2017.12.05 17:00	2017.12.05 22:00	112.489	112.769	112.550	112.741	112.648	112.554	112.461	112.367
0.032000	302	302	304	2017.12.06 06:00	2017.12.06 06:00	2017.12.06 08:00	2017.12.05 23:00	2017.12.05 23:00	2017.12.06 01:00	112.581	112.581	112.466	112.792	112.701	112.611	112.521	112.430
0.019000	306	306	307	2017.12.06 10:00	2017.12.06 10:00	2017.12.06 11:00	2017.12.06 03:00	2017.12.06 03:00	2017.12.06 04:00	112.460	112.460	112.215	112.807	112.702	112.597	112.493	112.388
0.008000	308	308	309	2017.12.06 12:00	2017.12.06 12:00	2017.12.06 13:00	2017.12.06 05:00	2017.12.06 05:00	2017.12.06 06:00	112.224	112.224	112.140	112.861	112.709	112.556	112.403	112.250
0.150000	311	311	312	2017.12.06 15:00	2017.12.06 15:00	2017.12.06 16:00	2017.12.06 08:00	2017.12.06 08:00	2017.12.06 09:00	112.227	112.227	112.096	112.927	112.714	112.501	112.288	112.075
0.219000	313	319	325	2017.12.06 17:00	2017.12.06 23:00	2017.12.07 05:00	2017.12.06 10:00	2017.12.06 16:00	2017.12.06 22:00	112.183	112.315	112.206	112.656	112.479	112.301	112.123	111.945
1.445000	326	416	443	2017.12.07 06:00	2017.12.13 00:00	2017.12.14 03:00	2017.12.06 23:00	2017.12.12 17:00	2017.12.13 20:00	112.290	113.677	112.855	113.626	113.562	113.498	113.434	113.370
