source = 49_20_file-io.USDJPY.Period-H1.Days-1200.Bars-28800.20180428_073251.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr/data/csv)
Max,Index
0.002000,00
0.025000,02
1.717000,52
0.109000,90
0.026000,92
0.481000,104
0.073000,107
0.054000,111
0.051000,114
0.346000,121
0.126000,126
1.095000,161
0.161000,184
0.119000,188
0.045000,190
0.050000,194
0.184000,199
0.269000,209
0.042000,215
0.168000,218
0.028000,220
0.058000,222
0.104000,224
0.094000,227
0.039000,231
0.310000,234
0.337000,240
1.052000,268
0.491000,277
0.190000,283
0.120000,285
0.241000,291
0.013000,294
0.176000,298
1.740000,397
0.184000,433
0.164000,438
0.147000,442
0.097000,447
0.294000,451
0.353000,455
0.070000,465
0.143000,467
0.531000,473
0.486000,495
0.721000,529
0.165000,552
0.297000,560
0.069000,563
0.022000,566
0.034000,568
0.428000,572
0.030000,576
0.109000,578
0.082000,580
0.264000,586
0.267000,592
0.195000,596
0.004000,598
2.265000,670
0.995000,766
1.335000,810
0.117000,842
0.249000,852
0.100000,858
0.101000,864
0.022000,866
0.495000,873
0.185000,879
0.351000,884
0.026000,893
0.046000,896
0.070000,904
0.226000,909
0.138000,920
0.893000,951
0.049000,966
0.006000,969
0.145000,974
0.047000,978
0.075000,982
0.008000,987
0.072000,990
0.225000,999

