source = 49_20_file-io.USDJPY.Period-H1.Days-1200.Bars-28800.20180428_073251.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr/data/csv)
Max,Index,datetime_Local
0.002000,00,2018.02.19 08:00
0.025000,02,2018.02.19 10:00
1.717000,52,2018.02.22 22:00
0.109000,90,2018.02.23 02:00
0.026000,92,2018.02.23 04:00
0.481000,104,2018.02.23 17:00
0.073000,107,2018.02.23 20:00
0.054000,111,2018.02.24 00:00
0.051000,114,2018.02.24 02:00
0.346000,121,2018.02.26 09:00
0.126000,126,2018.02.26 14:00
1.095000,161,2018.02.28 21:00
0.161000,184,2018.03.01 00:00
0.119000,188,2018.03.01 04:00
0.045000,190,2018.03.01 07:00
0.050000,194,2018.03.01 10:00
0.184000,199,2018.03.01 20:00
0.269000,209,2018.03.02 01:00
0.042000,215,2018.03.02 07:00
0.168000,218,2018.03.02 10:00
0.028000,220,2018.03.02 12:00
0.058000,222,2018.03.02 14:00
0.104000,224,2018.03.02 16:00
0.094000,227,2018.03.02 19:00
0.039000,231,2018.03.02 23:00
0.310000,234,2018.03.03 03:00
0.337000,240,2018.03.05 16:00
1.052000,268,2018.03.06 18:00
0.491000,277,2018.03.06 22:00
0.190000,283,2018.03.07 03:00
0.120000,285,2018.03.07 06:00
0.241000,291,2018.03.07 11:00
0.013000,294,2018.03.07 14:00
0.176000,298,2018.03.07 18:00
1.740000,397,2018.03.15 01:00
0.184000,433,2018.03.15 09:00
0.164000,438,2018.03.15 15:00
0.147000,442,2018.03.15 19:00
0.097000,447,2018.03.15 23:00
0.294000,451,2018.03.16 03:00
0.353000,455,2018.03.16 11:00
0.070000,465,2018.03.16 17:00
0.143000,467,2018.03.16 19:00
0.531000,473,2018.03.19 14:00
0.486000,495,2018.03.20 01:00
0.721000,529,2018.03.22 03:00
0.165000,552,2018.03.22 08:00
0.297000,560,2018.03.22 17:00
0.069000,563,2018.03.22 19:00
0.022000,566,2018.03.22 22:00
0.034000,568,2018.03.23 01:00
0.428000,572,2018.03.23 05:00
0.030000,576,2018.03.23 08:00
0.109000,578,2018.03.23 10:00
0.082000,580,2018.03.23 12:00
0.264000,586,2018.03.23 18:00
0.267000,592,2018.03.24 01:00
0.195000,596,2018.03.24 04:00
0.004000,598,2018.03.24 06:00
2.265000,670,2018.04.03 03:00
0.995000,766,2018.04.04 19:00
1.335000,810,2018.04.07 04:00
0.117000,842,2018.04.09 10:00
0.249000,852,2018.04.09 22:00
0.100000,858,2018.04.10 02:00
0.101000,864,2018.04.10 08:00
0.022000,866,2018.04.10 10:00
0.495000,873,2018.04.10 17:00
0.185000,879,2018.04.10 23:00
0.351000,884,2018.04.11 09:00
0.026000,893,2018.04.11 13:00
0.046000,896,2018.04.11 17:00
0.070000,904,2018.04.12 00:00
0.226000,909,2018.04.12 06:00
0.138000,920,2018.04.12 18:00
0.893000,951,2018.04.16 12:00
0.049000,966,2018.04.16 15:00
0.006000,969,2018.04.16 17:00
0.145000,974,2018.04.16 23:00
0.047000,978,2018.04.17 02:00
0.075000,982,2018.04.17 09:00
0.008000,987,2018.04.17 11:00
0.072000,990,2018.04.17 15:00
0.225000,999,2018.04.18 02:00

