source = 49_20_file-io.USDJPY.Period-H1.Days-1200.Bars-28800.20180428_073251.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr/data/csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(max)
0.002000	00	00	01	2018.02.19 08:00
0.025000	02	02	03	2018.02.19 10:00
1.717000	04	52	87	2018.02.22 22:00
0.109000	89	90	91	2018.02.23 02:00
0.026000	92	92	93	2018.02.23 04:00
0.481000	94	104	106	2018.02.23 17:00
0.073000	107	107	109	2018.02.23 20:00
0.054000	111	111	113	2018.02.24 00:00
0.051000	114	114	115	2018.02.24 02:00
0.346000	116	121	122	2018.02.26 09:00
0.126000	125	126	127	2018.02.26 14:00
1.095000	129	161	182	2018.02.28 21:00
0.161000	183	184	185	2018.03.01 00:00
0.119000	187	188	189	2018.03.01 04:00
0.045000	190	190	192	2018.03.01 07:00
0.050000	194	194	195	2018.03.01 10:00
0.184000	196	199	205	2018.03.01 20:00
0.269000	206	209	210	2018.03.02 01:00
0.042000	215	215	216	2018.03.02 07:00
0.168000	217	218	219	2018.03.02 10:00
0.028000	220	220	221	2018.03.02 12:00
0.058000	222	222	223	2018.03.02 14:00
0.104000	224	224	225	2018.03.02 16:00
0.094000	227	227	228	2018.03.02 19:00
0.039000	231	231	232	2018.03.02 23:00
0.310000	233	234	236	2018.03.03 03:00
0.337000	237	240	249	2018.03.05 16:00
1.052000	250	268	275	2018.03.06 18:00
0.491000	276	277	279	2018.03.06 22:00
0.190000	282	283	284	2018.03.07 03:00
0.120000	285	285	287	2018.03.07 06:00
0.241000	290	291	292	2018.03.07 11:00
0.013000	293	294	295	2018.03.07 14:00
0.176000	297	298	299	2018.03.07 18:00
1.740000	301	397	426	2018.03.15 01:00
0.184000	427	433	434	2018.03.15 09:00
0.164000	436	438	440	2018.03.15 15:00
0.147000	441	442	444	2018.03.15 19:00
0.097000	446	447	448	2018.03.15 23:00
0.294000	449	451	452	2018.03.16 03:00
0.353000	453	455	460	2018.03.16 11:00
0.070000	465	465	466	2018.03.16 17:00
0.143000	467	467	468	2018.03.16 19:00
0.531000	471	473	487	2018.03.19 14:00
0.486000	488	495	498	2018.03.20 01:00
0.721000	499	529	548	2018.03.22 03:00
0.165000	551	552	553	2018.03.22 08:00
0.297000	556	560	562	2018.03.22 17:00
0.069000	563	563	564	2018.03.22 19:00
0.022000	566	566	567	2018.03.22 22:00
0.034000	568	568	570	2018.03.23 01:00
0.428000	571	572	574	2018.03.23 05:00
0.030000	576	576	577	2018.03.23 08:00
0.109000	578	578	579	2018.03.23 10:00
0.082000	580	580	581	2018.03.23 12:00
0.264000	583	586	587	2018.03.23 18:00
0.267000	589	592	594	2018.03.24 01:00
0.195000	595	596	597	2018.03.24 04:00
0.004000	598	598	599	2018.03.24 06:00
2.265000	600	670	740	2018.04.03 03:00
0.995000	741	766	780	2018.04.04 19:00
1.335000	782	810	837	2018.04.07 04:00
0.117000	838	842	843	2018.04.09 10:00
0.249000	844	852	855	2018.04.09 22:00
0.100000	856	858	859	2018.04.10 02:00
0.101000	863	864	865	2018.04.10 08:00
0.022000	866	866	867	2018.04.10 10:00
0.495000	868	873	874	2018.04.10 17:00
0.185000	875	879	880	2018.04.10 23:00
0.351000	881	884	890	2018.04.11 09:00
0.026000	893	893	894	2018.04.11 13:00
0.046000	896	896	898	2018.04.11 17:00
0.070000	904	904	905	2018.04.12 00:00
0.226000	906	909	911	2018.04.12 06:00
0.138000	913	920	923	2018.04.12 18:00
0.893000	924	951	965	2018.04.16 12:00
0.049000	966	966	968	2018.04.16 15:00
0.006000	969	969	970	2018.04.16 17:00
0.145000	972	974	976	2018.04.16 23:00
0.047000	977	978	979	2018.04.17 02:00
0.075000	981	982	986	2018.04.17 09:00
0.008000	987	987	988	2018.04.17 11:00
0.072000	989	990	992	2018.04.17 15:00
0.225000	994	999	1003	2018.04.18 02:00

