source = 44_1.14_file-io.USDJPY.Period-H1.Days-1900.Bars-45600.20180511_181208.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr/data/csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(max)
0.009000	01	01	02	2018.01.22 18:00
0.149000	04	05	06	2018.01.22 22:00
0.125000	07	07	08	2018.01.23 00:00
0.371000	09	09	13	2018.01.23 05:00
0.067000	15	16	17	2018.01.23 09:00
0.044000	18	18	19	2018.01.23 11:00
0.344000	21	23	25	2018.01.23 17:00
0.026000	29	29	30	2018.01.23 22:00
0.121000	33	33	36	2018.01.24 04:00
0.003000	37	37	38	2018.01.24 06:00
0.113000	41	41	42	2018.01.24 10:00
0.114000	46	47	48	2018.01.24 16:00
0.022000	52	52	53	2018.01.24 21:00
0.059000	58	58	59	2018.01.25 03:00
0.364000	60	65	67	2018.01.25 11:00
0.268000	71	73	74	2018.01.25 18:00
0.053000	75	75	76	2018.01.25 20:00
0.094000	79	79	80	2018.01.26 00:00
0.001000	81	81	82	2018.01.26 02:00
1.114000	84	89	96	2018.01.26 16:00
0.445000	98	100	103	2018.01.26 23:00
0.075000	106	106	107	2018.01.27 03:00
0.731000	108	129	142	2018.01.30 14:00
0.130000	143	143	145	2018.01.30 17:00
0.071000	148	149	150	2018.01.30 22:00
0.334000	152	153	160	2018.01.31 08:00
0.171000	161	163	166	2018.01.31 14:00
1.802000	168	223	253	2018.02.06 05:00
0.038000	255	255	256	2018.02.06 08:00
0.051000	257	257	258	2018.02.06 10:00
0.019000	259	259	260	2018.02.06 12:00
1.115000	261	279	288	2018.02.07 16:00
0.575000	290	301	304	2018.02.08 08:00
0.620000	305	311	319	2018.02.08 23:00
0.255000	323	323	325	2018.02.09 05:00
0.055000	326	327	328	2018.02.09 08:00
0.671000	329	337	341	2018.02.09 21:00
0.196000	342	342	344	2018.02.10 00:00
0.510000	348	351	367	2018.02.12 23:00
0.189000	368	371	373	2018.02.13 05:00
0.129000	374	376	380	2018.02.13 12:00
0.030000	388	388	390	2018.02.13 22:00
0.029000	391	391	392	2018.02.14 00:00
0.419000	393	399	403	2018.02.14 11:00
0.608000	405	410	416	2018.02.15 00:00
0.247000	417	420	421	2018.02.15 05:00
0.114000	422	423	424	2018.02.15 08:00
0.207000	425	425	427	2018.02.15 11:00
0.128000	428	429	431	2018.02.15 15:00
0.339000	433	436	438	2018.02.15 22:00
0.416000	441	442	443	2018.02.16 03:00
0.078000	446	447	448	2018.02.16 08:00
0.133000	449	449	450	2018.02.16 10:00
0.025000	452	452	453	2018.02.16 13:00
0.307000	454	456	457	2018.02.16 17:00
0.431000	458	463	464	2018.02.17 00:00
0.083000	465	465	466	2018.02.17 02:00
0.253000	467	468	474	2018.02.19 10:00
1.717000	475	523	558	2018.02.22 22:00
0.109000	560	561	562	2018.02.23 02:00
0.026000	563	563	564	2018.02.23 04:00
0.481000	565	575	577	2018.02.23 17:00
0.073000	578	578	580	2018.02.23 20:00
0.054000	582	582	584	2018.02.24 00:00
0.051000	585	585	586	2018.02.24 02:00
0.346000	587	592	593	2018.02.26 09:00
0.126000	596	597	598	2018.02.26 14:00
1.095000	600	632	653	2018.02.28 21:00
0.161000	654	655	656	2018.03.01 00:00
0.119000	658	659	660	2018.03.01 04:00
0.045000	661	661	663	2018.03.01 07:00
0.050000	665	665	666	2018.03.01 10:00
0.184000	667	670	676	2018.03.01 20:00
0.269000	677	680	681	2018.03.02 01:00
0.042000	686	686	687	2018.03.02 07:00
0.168000	688	689	690	2018.03.02 10:00
0.028000	691	691	692	2018.03.02 12:00
0.058000	693	693	694	2018.03.02 14:00
0.104000	695	695	696	2018.03.02 16:00
0.094000	698	698	699	2018.03.02 19:00
0.039000	702	702	703	2018.03.02 23:00
0.310000	704	705	707	2018.03.03 03:00
0.337000	708	711	720	2018.03.05 16:00
1.052000	721	739	746	2018.03.06 18:00
0.491000	747	748	750	2018.03.06 22:00
0.190000	753	754	755	2018.03.07 03:00
0.120000	756	756	758	2018.03.07 06:00
0.241000	761	762	763	2018.03.07 11:00
0.013000	764	765	766	2018.03.07 14:00
0.176000	768	769	770	2018.03.07 18:00
1.740000	772	868	897	2018.03.15 01:00
0.184000	898	904	905	2018.03.15 09:00
0.164000	907	909	911	2018.03.15 15:00
0.147000	912	913	915	2018.03.15 19:00
0.097000	917	918	919	2018.03.15 23:00
0.294000	920	922	923	2018.03.16 03:00
0.353000	924	926	931	2018.03.16 11:00
0.070000	936	936	937	2018.03.16 17:00
0.143000	938	938	939	2018.03.16 19:00
0.531000	942	944	958	2018.03.19 14:00
0.486000	959	966	969	2018.03.20 01:00
0.721000	970	1000	1019	2018.03.22 03:00
0.165000	1022	1023	1024	2018.03.22 08:00
0.297000	1027	1031	1033	2018.03.22 17:00
0.069000	1034	1034	1035	2018.03.22 19:00
0.022000	1037	1037	1038	2018.03.22 22:00
0.034000	1039	1039	1041	2018.03.23 01:00
0.428000	1042	1043	1045	2018.03.23 05:00
0.030000	1047	1047	1048	2018.03.23 08:00
0.109000	1049	1049	1050	2018.03.23 10:00
0.082000	1051	1051	1052	2018.03.23 12:00
0.264000	1054	1057	1058	2018.03.23 18:00
0.267000	1060	1063	1065	2018.03.24 01:00
0.195000	1066	1067	1068	2018.03.24 04:00
0.004000	1069	1069	1070	2018.03.24 06:00
2.265000	1071	1141	1211	2018.04.03 03:00
0.995000	1212	1237	1251	2018.04.04 19:00
1.335000	1253	1281	1308	2018.04.07 04:00
0.117000	1309	1313	1314	2018.04.09 10:00
0.249000	1315	1323	1326	2018.04.09 22:00
0.100000	1327	1329	1330	2018.04.10 02:00
0.101000	1334	1335	1336	2018.04.10 08:00
0.022000	1337	1337	1338	2018.04.10 10:00
0.495000	1339	1344	1345	2018.04.10 17:00
0.185000	1346	1350	1351	2018.04.10 23:00
0.351000	1352	1355	1361	2018.04.11 09:00
0.026000	1364	1364	1365	2018.04.11 13:00
0.046000	1367	1367	1369	2018.04.11 17:00
0.070000	1375	1375	1376	2018.04.12 00:00
0.226000	1377	1380	1382	2018.04.12 06:00
0.138000	1384	1391	1394	2018.04.12 18:00
0.893000	1395	1422	1436	2018.04.16 12:00
0.049000	1437	1437	1439	2018.04.16 15:00
0.006000	1440	1440	1441	2018.04.16 17:00
0.145000	1443	1445	1447	2018.04.16 23:00
0.047000	1448	1449	1450	2018.04.17 02:00
0.075000	1452	1453	1457	2018.04.17 09:00
0.008000	1458	1458	1459	2018.04.17 11:00
0.072000	1460	1461	1463	2018.04.17 15:00
0.225000	1465	1470	1474	2018.04.18 02:00

