source = 44_1.14_file-io.EURJPY.Period-H1.Days-1900.Bars-45600.20180511_181622.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr/data/csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(max)
0.706000	00	18	20	2018.01.23 12:00
0.310000	21	23	25	2018.01.23 17:00
0.074000	27	27	28	2018.01.23 20:00
0.436000	29	32	43	2018.01.24 11:00
0.138000	44	46	47	2018.01.24 15:00
0.058000	52	52	53	2018.01.24 21:00
0.286000	54	54	56	2018.01.25 00:00
0.439000	57	65	72	2018.01.25 16:00
0.159000	74	74	75	2018.01.25 19:00
0.739000	77	79	83	2018.01.26 03:00
0.561000	84	89	103	2018.01.26 23:00
0.400000	106	109	111	2018.01.29 07:00
0.122000	112	112	114	2018.01.29 10:00
0.186000	115	120	123	2018.01.29 19:00
0.108000	125	125	126	2018.01.29 22:00
0.543000	128	131	140	2018.01.30 12:00
3.022000	145	227	253	2018.02.06 05:00
0.066000	255	255	256	2018.02.06 08:00
0.238000	257	257	258	2018.02.06 10:00
1.447000	262	265	268	2018.02.06 20:00
0.274000	270	270	272	2018.02.07 00:00
0.997000	273	279	286	2018.02.07 14:00
0.104000	287	287	288	2018.02.07 16:00
0.241000	292	293	294	2018.02.07 22:00
0.049000	295	295	296	2018.02.08 00:00
0.201000	297	297	299	2018.02.08 03:00
0.304000	300	301	302	2018.02.08 06:00
0.697000	305	311	313	2018.02.08 17:00
0.005000	314	314	315	2018.02.08 19:00
0.352000	318	318	320	2018.02.09 00:00
0.492000	323	323	325	2018.02.09 05:00
0.126000	326	327	328	2018.02.09 08:00
0.986000	329	336	340	2018.02.09 20:00
0.547000	342	342	343	2018.02.09 23:00
1.186000	347	356	366	2018.02.12 22:00
0.795000	367	376	383	2018.02.13 15:00
0.502000	387	391	392	2018.02.14 00:00
0.417000	393	397	403	2018.02.14 11:00
0.480000	405	408	412	2018.02.14 20:00
1.346000	415	423	459	2018.02.16 19:00
0.131000	460	461	462	2018.02.16 22:00
0.073000	463	463	464	2018.02.17 00:00
0.026000	465	465	466	2018.02.17 02:00
0.141000	468	468	469	2018.02.17 05:00
0.115000	471	471	472	2018.02.19 08:00
0.143000	473	473	474	2018.02.19 10:00
0.419000	476	483	486	2018.02.19 22:00
0.498000	488	497	504	2018.02.20 16:00
0.163000	505	505	507	2018.02.20 19:00
0.126000	509	511	512	2018.02.21 00:00
0.807000	513	523	529	2018.02.21 17:00
0.089000	530	530	531	2018.02.21 19:00
0.027000	532	532	533	2018.02.21 21:00
0.404000	534	539	541	2018.02.22 05:00
0.045000	542	542	543	2018.02.22 07:00
0.152000	547	547	548	2018.02.22 12:00
0.182000	549	551	553	2018.02.22 17:00
0.160000	554	554	556	2018.02.22 20:00
0.502000	558	561	564	2018.02.23 04:00
0.313000	565	569	572	2018.02.23 12:00
0.092000	573	575	576	2018.02.23 16:00
0.000000	577	575	578	2018.02.23 18:00
0.124000	582	583	584	2018.02.24 00:00
0.053000	585	585	587	2018.02.24 03:00
0.311000	588	592	593	2018.02.26 09:00
0.553000	596	604	608	2018.02.27 00:00
0.689000	609	624	630	2018.02.27 22:00
0.081000	632	632	633	2018.02.28 01:00
0.069000	636	636	637	2018.02.28 05:00
0.052000	638	639	641	2018.02.28 09:00
0.075000	643	643	644	2018.02.28 12:00
0.065000	647	647	648	2018.02.28 16:00
0.039000	651	651	653	2018.02.28 21:00
0.119000	654	654	656	2018.03.01 00:00
0.176000	657	659	660	2018.03.01 04:00
0.022000	661	661	662	2018.03.01 06:00
0.033000	665	665	666	2018.03.01 10:00
0.286000	667	671	674	2018.03.01 18:00
0.072000	675	675	676	2018.03.01 20:00
0.390000	678	678	679	2018.03.01 23:00
0.535000	680	681	683	2018.03.02 03:00
0.521000	684	689	690	2018.03.02 10:00
0.122000	691	693	694	2018.03.02 14:00
0.163000	697	698	699	2018.03.02 19:00
0.010000	700	700	701	2018.03.02 21:00
0.832000	702	711	715	2018.03.05 11:00
0.163000	716	716	717	2018.03.05 13:00
0.064000	718	718	719	2018.03.05 15:00
2.457000	721	749	801	2018.03.09 01:00
0.206000	802	805	806	2018.03.09 06:00
1.033000	807	824	838	2018.03.12 14:00
0.355000	839	841	843	2018.03.12 19:00
0.021000	844	844	845	2018.03.12 21:00
0.272000	846	851	857	2018.03.13 09:00
1.124000	858	870	894	2018.03.14 22:00
0.357000	898	899	906	2018.03.15 10:00
0.179000	907	909	911	2018.03.15 15:00
0.128000	912	913	914	2018.03.15 18:00
0.233000	920	920	921	2018.03.16 01:00
0.142000	922	922	923	2018.03.16 03:00
0.161000	925	926	928	2018.03.16 08:00
0.031000	929	929	930	2018.03.16 10:00
0.181000	934	936	937	2018.03.16 17:00
0.173000	938	938	941	2018.03.16 21:00
0.057000	942	943	944	2018.03.17 00:00
0.263000	945	946	949	2018.03.17 05:00
0.191000	951	951	952	2018.03.19 08:00
0.021000	956	957	958	2018.03.19 14:00
1.818000	960	985	994	2018.03.21 02:00
0.050000	995	995	996	2018.03.21 04:00
0.014000	997	997	998	2018.03.21 06:00
0.055000	999	1000	1001	2018.03.21 09:00
0.156000	1002	1005	1007	2018.03.21 15:00
0.097000	1008	1008	1011	2018.03.21 19:00
0.070000	1012	1012	1013	2018.03.21 21:00
0.134000	1014	1016	1017	2018.03.22 01:00
0.527000	1019	1022	1035	2018.03.22 19:00
0.086000	1037	1037	1038	2018.03.22 22:00
0.123000	1039	1039	1040	2018.03.23 00:00
0.436000	1042	1043	1045	2018.03.23 05:00
0.049000	1047	1047	1048	2018.03.23 08:00
0.190000	1049	1051	1053	2018.03.23 13:00
0.060000	1054	1054	1055	2018.03.23 15:00
0.189000	1056	1056	1059	2018.03.23 19:00
0.585000	1060	1067	1070	2018.03.24 06:00
2.489000	1071	1104	1211	2018.04.03 03:00
0.295000	1212	1213	1217	2018.04.03 09:00
0.728000	1218	1238	1251	2018.04.04 19:00
2.945000	1252	1591	1661	2018.04.27 21:00
0.195000	1662	1662	1663	2018.04.27 23:00
0.681000	1664	1680	1684	2018.04.30 20:00
0.054000	1686	1686	1687	2018.04.30 23:00
0.181000	1688	1688	1689	2018.05.01 01:00
0.186000	1690	1697	1706	2018.05.01 18:00
0.069000	1707	1707	1709	2018.05.01 21:00
0.050000	1710	1710	1711	2018.05.01 23:00
0.071000	1713	1714	1715	2018.05.02 03:00
0.144000	1716	1717	1722	2018.05.02 10:00
0.269000	1723	1728	1730	2018.05.02 18:00
0.105000	1731	1734	1735	2018.05.02 23:00
0.029000	1737	1737	1738	2018.05.03 02:00
0.168000	1740	1740	1741	2018.05.03 05:00
0.104000	1742	1743	1745	2018.05.03 09:00
0.183000	1746	1750	1751	2018.05.03 15:00
0.242000	1752	1753	1754	2018.05.03 18:00
0.037000	1759	1759	1760	2018.05.04 00:00
0.629000	1761	1764	1776	2018.05.04 16:00
0.041000	1779	1779	1780	2018.05.04 20:00
0.035000	1783	1783	1784	2018.05.05 00:00
0.393000	1785	1798	1801	2018.05.07 17:00
0.135000	1802	1802	1804	2018.05.07 20:00
0.103000	1806	1807	1808	2018.05.08 00:00
0.025000	1809	1809	1810	2018.05.08 02:00
0.024000	1812	1812	1813	2018.05.08 05:00
0.113000	1814	1816	1817	2018.05.08 09:00
0.037000	1820	1820	1821	2018.05.08 13:00
0.090000	1822	1823	1824	2018.05.08 16:00
0.176000	1828	1834	1835	2018.05.09 03:00

