source = 44_1.14_file-io.AUDJPY.Period-H1.Days-1900.Bars-45600.20180511_181322.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr/data/csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(max)
0.452000	00	18	19	2018.01.23 11:00
0.246000	21	23	24	2018.01.23 16:00
0.280000	29	32	42	2018.01.24 10:00
0.450000	45	51	56	2018.01.25 00:00
0.485000	59	71	76	2018.01.25 20:00
0.094000	78	78	79	2018.01.25 23:00
0.116000	80	80	81	2018.01.26 01:00
0.640000	86	102	103	2018.01.26 23:00
0.413000	106	108	116	2018.01.29 12:00
0.133000	117	120	122	2018.01.29 18:00
0.033000	123	123	124	2018.01.29 20:00
0.029000	125	125	126	2018.01.29 22:00
0.276000	127	130	138	2018.01.30 10:00
0.013000	139	139	140	2018.01.30 12:00
0.068000	143	143	144	2018.01.30 16:00
0.585000	145	160	161	2018.01.31 09:00
0.617000	163	176	178	2018.02.01 02:00
0.008000	179	179	180	2018.02.01 04:00
0.283000	181	186	189	2018.02.01 13:00
0.039000	190	190	191	2018.02.01 15:00
0.084000	193	194	195	2018.02.01 19:00
0.018000	197	197	198	2018.02.01 22:00
0.356000	199	203	210	2018.02.02 10:00
0.036000	211	211	213	2018.02.02 13:00
0.190000	214	216	217	2018.02.02 17:00
0.054000	218	218	222	2018.02.02 22:00
0.103000	224	224	225	2018.02.03 01:00
0.038000	226	226	227	2018.02.03 03:00
0.197000	233	234	235	2018.02.05 11:00
0.228000	236	238	240	2018.02.05 16:00
0.264000	241	242	243	2018.02.05 19:00
0.311000	245	248	249	2018.02.06 01:00
0.018000	255	255	256	2018.02.06 08:00
0.126000	259	259	260	2018.02.06 12:00
0.904000	262	265	268	2018.02.06 20:00
1.169000	269	279	285	2018.02.07 13:00
0.067000	289	289	290	2018.02.07 18:00
0.296000	292	293	294	2018.02.07 22:00
0.155000	295	295	296	2018.02.08 00:00
0.104000	297	297	298	2018.02.08 02:00
0.167000	300	301	302	2018.02.08 06:00
0.300000	305	307	308	2018.02.08 12:00
0.370000	309	311	315	2018.02.08 19:00
0.128000	317	318	319	2018.02.08 23:00
0.404000	323	323	325	2018.02.09 05:00
0.083000	326	326	327	2018.02.09 07:00
0.132000	328	329	330	2018.02.09 10:00
0.546000	331	337	341	2018.02.09 21:00
0.545000	342	342	344	2018.02.10 00:00
1.103000	348	378	384	2018.02.13 16:00
0.075000	387	387	388	2018.02.13 20:00
0.024000	389	389	390	2018.02.13 22:00
0.447000	392	401	403	2018.02.14 11:00
0.240000	405	408	412	2018.02.14 20:00
1.307000	415	421	440	2018.02.16 00:00
0.768000	441	458	462	2018.02.16 22:00
0.060000	465	465	466	2018.02.17 02:00
0.936000	468	523	534	2018.02.21 22:00
0.135000	535	536	537	2018.02.22 01:00
0.095000	538	539	540	2018.02.22 04:00
0.035000	542	542	543	2018.02.22 07:00
0.071000	547	547	548	2018.02.22 12:00
0.233000	549	551	553	2018.02.22 17:00
0.150000	554	554	557	2018.02.22 21:00
0.269000	558	561	563	2018.02.23 03:00
0.123000	565	566	567	2018.02.23 07:00
0.118000	568	569	570	2018.02.23 10:00
0.031000	571	571	572	2018.02.23 12:00
0.071000	574	575	577	2018.02.23 17:00
0.013000	581	581	582	2018.02.23 22:00
0.382000	585	591	593	2018.02.26 09:00
0.319000	595	600	605	2018.02.26 21:00
0.140000	606	607	608	2018.02.27 00:00
0.315000	609	618	620	2018.02.27 12:00
0.028000	621	621	622	2018.02.27 14:00
0.139000	623	624	626	2018.02.27 18:00
0.015000	627	627	628	2018.02.27 20:00
0.032000	629	629	630	2018.02.27 22:00
0.121000	632	632	633	2018.02.28 01:00
0.025000	634	634	635	2018.02.28 03:00
0.130000	639	640	641	2018.02.28 09:00
0.143000	643	643	646	2018.02.28 14:00
0.182000	647	649	654	2018.02.28 22:00
0.018000	657	657	659	2018.03.01 03:00
0.024000	664	664	665	2018.03.01 09:00
0.186000	668	673	674	2018.03.01 18:00
0.588000	675	681	682	2018.03.02 02:00
0.411000	684	689	690	2018.03.02 10:00
0.058000	693	693	694	2018.03.02 14:00
0.034000	695	695	696	2018.03.02 16:00
0.025000	697	697	698	2018.03.02 18:00
0.160000	702	702	703	2018.03.02 23:00
0.536000	704	711	719	2018.03.05 15:00
1.739000	721	749	760	2018.03.07 08:00
0.931000	761	784	800	2018.03.09 00:00
0.080000	801	801	803	2018.03.09 03:00
1.903000	804	868	906	2018.03.15 10:00
0.182000	907	908	910	2018.03.15 14:00
0.097000	912	913	915	2018.03.15 19:00
0.122000	920	920	921	2018.03.16 01:00
0.021000	922	922	923	2018.03.16 03:00
0.150000	924	927	928	2018.03.16 08:00
0.006000	929	929	930	2018.03.16 10:00
0.270000	934	936	937	2018.03.16 17:00
0.090000	938	938	939	2018.03.16 19:00
0.160000	942	943	944	2018.03.17 00:00
0.014000	945	945	946	2018.03.17 02:00
