source = 44_1.14_file-io.EURUSD.Period-H1.Days-1900.Bars-45600.20180511_180935.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(max)
0.004000	00	03	07	2018.01.22 23:00
0.001000	08	08	09	2018.01.23 01:00
0.004000	10	17	23	2018.01.23 15:00
0.000000	24	24	25	2018.01.23 17:00
0.001000	27	27	28	2018.01.23 20:00
0.027000	29	80	126	2018.01.29 22:00
0.000000	128	128	129	2018.01.30 01:00
0.004000	130	132	139	2018.01.30 11:00
0.001000	140	140	141	2018.01.30 13:00
0.010000	144	150	153	2018.01.31 01:00
0.001000	154	154	155	2018.01.31 03:00
0.001000	156	156	157	2018.01.31 05:00
0.007000	158	174	177	2018.02.01 01:00
0.000000	179	179	180	2018.02.01 04:00
0.002000	181	188	191	2018.02.01 15:00
0.012000	192	205	222	2018.02.02 22:00
0.006000	224	243	247	2018.02.05 23:00
0.002000	248	250	252	2018.02.06 04:00
0.000000	255	255	256	2018.02.06 08:00
0.002000	257	257	259	2018.02.06 11:00
0.006000	262	265	268	2018.02.06 20:00
0.000000	270	270	271	2018.02.06 23:00
0.007000	272	287	290	2018.02.07 18:00
0.001000	292	292	293	2018.02.07 21:00
0.000000	295	295	296	2018.02.08 00:00
0.002000	300	300	301	2018.02.08 05:00
0.000000	302	302	303	2018.02.08 07:00
0.002000	304	308	309	2018.02.08 13:00
0.002000	310	310	311	2018.02.08 15:00
0.000000	312	312	313	2018.02.08 17:00
0.002000	315	315	316	2018.02.08 20:00
0.004000	317	319	321	2018.02.09 01:00
0.003000	322	323	325	2018.02.09 05:00
0.004000	326	336	339	2018.02.09 19:00
0.004000	341	342	343	2018.02.09 23:00
0.008000	347	359	366	2018.02.12 22:00
0.014000	367	404	414	2018.02.14 22:00
0.024000	415	453	467	2018.02.17 03:00
0.000000	468	468	469	2018.02.17 05:00
0.004000	470	474	477	2018.02.19 13:00
0.001000	479	479	480	2018.02.19 16:00
0.003000	482	483	485	2018.02.19 21:00
0.004000	487	490	499	2018.02.20 11:00
0.000000	500	501	502	2018.02.20 14:00
0.001000	508	508	510	2018.02.20 22:00
0.002000	511	513	516	2018.02.21 04:00
0.000000	517	517	519	2018.02.21 07:00
0.000000	520	520	521	2018.02.21 09:00
0.000000	522	522	523	2018.02.21 11:00
0.001000	526	527	528	2018.02.21 16:00
0.002000	529	530	532	2018.02.21 20:00
0.002000	534	538	540	2018.02.22 04:00
0.000000	544	544	545	2018.02.22 09:00
0.001000	546	547	549	2018.02.22 13:00
0.000000	550	550	551	2018.02.22 15:00
0.003000	552	554	557	2018.02.22 21:00
0.007000	558	562	573	2018.02.23 13:00
0.000000	574	574	575	2018.02.23 15:00
0.002000	576	577	579	2018.02.23 19:00
0.001000	580	580	581	2018.02.23 21:00
0.001000	582	583	584	2018.02.24 00:00
0.001000	586	586	587	2018.02.24 03:00
0.000000	588	588	589	2018.02.24 05:00
0.000000	590	590	591	2018.02.26 07:00
0.006000	593	603	606	2018.02.26 22:00
0.005000	609	624	630	2018.02.27 22:00
0.001000	633	634	635	2018.02.28 03:00
0.001000	638	639	640	2018.02.28 08:00
0.001000	641	641	643	2018.02.28 11:00
0.002000	644	647	648	2018.02.28 16:00
0.001000	650	651	655	2018.02.28 23:00
0.001000	657	657	660	2018.03.01 04:00
0.000000	666	666	667	2018.03.01 11:00
0.002000	668	671	673	2018.03.01 17:00
0.001000	675	675	677	2018.03.01 21:00
0.002000	678	678	679	2018.03.01 23:00
0.025000	680	771	804	2018.03.09 04:00
0.001000	805	807	808	2018.03.09 08:00
0.000000	809	809	810	2018.03.09 10:00
0.002000	811	815	817	2018.03.09 17:00
0.000000	820	820	821	2018.03.09 21:00
0.003000	823	825	829	2018.03.10 05:00
0.000000	832	825	833	2018.03.12 09:00
0.003000	834	841	843	2018.03.12 19:00
0.000000	844	841	845	2018.03.12 21:00
0.012000	846	884	917	2018.03.15 21:00
0.001000	920	920	921	2018.03.16 01:00
0.002000	923	923	924	2018.03.16 04:00
0.001000	926	929	931	2018.03.16 11:00
0.003000	932	941	942	2018.03.16 22:00
0.003000	945	951	954	2018.03.19 10:00
0.000000	956	957	958	2018.03.19 14:00
0.010000	960	972	989	2018.03.20 21:00
0.000000	992	992	993	2018.03.21 01:00
0.001000	995	995	996	2018.03.21 04:00
0.005000	999	1015	1018	2018.03.22 02:00
0.011000	1019	1033	1036	2018.03.22 20:00
0.001000	1037	1037	1038	2018.03.22 22:00
0.001000	1039	1039	1040	2018.03.23 00:00
0.000000	1041	1041	1042	2018.03.23 02:00
0.002000	1044	1045	1046	2018.03.23 06:00
0.004000	1047	1056	1057	2018.03.23 17:00
0.001000	1058	1058	1059	2018.03.23 19:00
0.015000	1060	1105	1110	2018.03.27 22:00
0.003000	1111	1114	1117	2018.03.28 05:00
0.002000	1118	1125	1126	2018.03.28 14:00
